"key","message","comment","context"
"Address",,,
"Address Configurations",,,
"Address Details",,,
"Amount",,,
"Amount collected",,,
"Before Days",,,
"Capacity",,,
"City",,,
"Country",,,
"Description",,,
"Discount amount",,,
"Discount percent",,,
"Discounts",,,
"Disount Amount",,,
"Email",,,
"End Date",,,
"Event",,,
"Event Details",,,
"Event Registration",,,
"Event Registrations",,,
"Event fees",,,
"Events",,,
"Finance Details",,,
"Flat / House No.",,,
"FullName",,,
"General Details",,,
"Import Registration",,,
"LandMark",,,
"Name",,,
"Personal Details",,,
"Reference",,,
"Registration Details",,,
"Registration close",,,
"Registration date",,,
"Registration open",,,
"Registration.date",,,
"Registrations.full",,,
"Start Date",,,
"Street",,,
"Total discount",,,
"Total entry",,,
"Venu",,,
"Venu Details",,,
